  PID TTY      STAT   TIME COMMAND
 1289 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 1291 ?        Ss     0:01 /sbin/upstart --user
 1392 ?        S      0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-wlp3s0.pid -lf /var/lib/NetworkManager/dhclient-4845d68c-a193-429d-a48c-f000235ed316-wlp3s0.lease -cf /var/lib/NetworkManager/dhclient-wlp3s0.conf wlp3s0
 1411 ?        S      0:00 upstart-udev-bridge --daemon --user
 1426 ?        Ss     0:00 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-0kQeF72CVH
 1438 ?        Ss     0:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
 1473 ?        Ssl    0:05 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
 1475 ?        S      0:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
 1482 ?        S      0:00 upstart-dbus-bridge --daemon --session --user --bus-name session
 1489 ?        S      0:00 upstart-dbus-bridge --daemon --system --user --bus-name system
 1524 ?        S      0:00 upstart-file-bridge --daemon --user
 1537 ?        Ss     0:00 gpg-agent --homedir /home/mohit_linux/.gnupg --use-standard-socket --daemon
 1541 ?        Sl     0:00 /usr/lib/gvfs/gvfsd
 1546 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1555 ?        Sl     0:00 /usr/lib/ibus/ibus-dconf
 1556 ?        Sl     0:02 /usr/lib/ibus/ibus-ui-gtk3
 1560 ?        Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1616 ?        Ssl    0:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
 1617 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
 1624 ?        Sl     0:01 /usr/lib/ibus/ibus-engine-simple
 1628 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
 1629 ?        Ssl    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1632 ?        Ssl    0:01 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
 1643 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
 1648 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1655 ?        Ssl    0:01 /usr/lib/x86_64-linux-gnu/hud/hud-service
 1667 ?        S      0:00 syndaemon -i 1.0 -t -K -R
 1674 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 1687 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1724 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
 1725 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
 1726 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
 1732 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
 1733 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
 1734 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
 1736 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
 1739 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
 1744 ?        Ssl    0:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
 1767 ?        Sl     0:00 nm-applet
 1768 ?        Sl     0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
 1769 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
 1770 ?        Sl     0:02 /usr/bin/gnome-software --gapplication-service
 1784 ?        Sl     0:05 nautilus -n
 1788 ?        Sl     0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1800 ?        Sl     0:00 /usr/lib/evolution/evolution-source-registry
 1807 ?        Ssl    0:00 /usr/lib/udisks2/udisksd --no-debug
 1812 ?        Ssl    0:21 compiz
 1822 ?        Sl     0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1827 ?        Sl     0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1832 ?        Sl     0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1838 ?        Sl     0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1862 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory
 1865 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
