 2147 ?        Sl     0:06 gedit /home/mohit_linux/Desktop/OS_PROG/prog1.c
24096 pts/4    R+     0:00 ./prog1
24097 pts/4    R+     0:00 ./prog1
24098 pts/4    R+     0:00 ./prog1
24099 pts/4    R+     0:00 ./prog1
24100 pts/4    R+     0:00 ./prog1
24101 pts/4    R+     0:00 ./prog1
24102 pts/4    R+     0:00 ./prog1
24103 pts/4    R+     0:00 ./prog1
24104 pts/4    R+     0:00 ./prog1
24105 pts/4    R+     0:00 ./prog1
24106 pts/4    R+     0:00 ./prog1
24107 pts/4    R+     0:00 ./prog1
24108 pts/4    R+     0:00 ./prog1
24109 pts/4    R+     0:00 ./prog1
24110 pts/4    R+     0:00 ./prog1
24111 pts/4    R+     0:00 ./prog1
24112 pts/4    R+     0:00 ./prog1
24113 pts/4    R+     0:00 ./prog1
24114 pts/4    R+     0:00 ./prog1
24115 pts/4    R+     0:00 ./prog1
24116 pts/4    R+     0:00 ./prog1
24117 pts/4    R+     0:00 ./prog1
24118 pts/4    R+     0:00 ./prog1
24119 pts/4    R+     0:00 ./prog1
24120 pts/4    R+     0:00 ./prog1
24121 pts/4    R+     0:00 ./prog1
24122 pts/4    R+     0:00 ./prog1
24123 pts/4    R+     0:00 ./prog1
24124 pts/4    R+     0:00 ./prog1
24125 pts/4    R+     0:00 ./prog1
24126 pts/4    R+     0:00 ./prog1
24127 pts/4    R+     0:00 ./prog1
24128 pts/4    R+     0:00 ./prog1
24129 pts/4    R+     0:00 ./prog1
24130 pts/4    R+     0:00 ./prog1
24131 pts/4    R+     0:00 ./prog1
24132 pts/4    R+     0:00 ./prog1
24133 pts/4    R+     0:00 ./prog1
24134 pts/4    R+     0:00 ./prog1
24135 pts/4    R+     0:00 ./prog1
24136 pts/4    R+     0:00 ./prog1
24137 pts/4    R+     0:00 ./prog1
24138 pts/4    R+     0:00 ./prog1
24139 pts/4    R+     0:00 ./prog1
24140 pts/4    R+     0:00 ./prog1
24141 pts/4    R+     0:00 ./prog1
24142 pts/4    R+     0:00 ./prog1
24143 pts/4    R+     0:00 ./prog1
24144 pts/4    R+     0:00 ./prog1
24145 pts/4    R+     0:00 ./prog1
24146 pts/4    R+     0:00 ./prog1
24147 pts/4    R+     0:00 ./prog1
24148 pts/4    R+     0:00 ./prog1
24149 pts/4    R+     0:00 ./prog1
24150 pts/4    R+     0:00 ./prog1
24151 pts/4    R+     0:00 ./prog1
24152 pts/4    R+     0:00 ./prog1
24153 pts/4    R+     0:00 ./prog1
24154 pts/4    R+     0:00 ./prog1
24155 pts/4    R+     0:00 ./prog1
24156 pts/4    R+     0:00 ./prog1
24157 pts/4    R+     0:00 ./prog1
24158 pts/4    R+     0:00 ./prog1
24159 pts/4    R+     0:00 ./prog1
24160 pts/4    R+     0:00 ./prog1
24161 pts/4    R+     0:00 ./prog1
24162 pts/4    R+     0:00 ./prog1
24163 pts/4    R+     0:00 ./prog1
24164 pts/4    R+     0:00 ./prog1
24165 pts/4    R+     0:00 ./prog1
24166 pts/4    R+     0:00 ./prog1
24167 pts/4    R+     0:00 ./prog1
24168 pts/4    R+     0:00 ./prog1
24169 pts/4    R+     0:00 ./prog1
24170 pts/4    R+     0:00 ./prog1
24171 pts/4    R+     0:00 ./prog1
24172 pts/4    R+     0:00 ./prog1
24173 pts/4    R+     0:00 ./prog1
24174 pts/4    R+     0:00 ./prog1
24175 pts/4    R+     0:00 ./prog1
24176 pts/4    R+     0:00 ./prog1
24177 pts/4    R+     0:00 ./prog1
24178 pts/4    R+     0:00 ./prog1
24179 pts/4    R+     0:00 ./prog1
24180 pts/4    R+     0:00 ./prog1
24181 pts/4    R+     0:00 ./prog1
24182 pts/4    R+     0:00 ./prog1
24183 pts/4    R+     0:00 ./prog1
24184 pts/4    R+     0:00 ./prog1
24185 pts/4    R+     0:00 ./prog1
24186 pts/4    R+     0:00 ./prog1
24187 pts/4    R+     0:00 ./prog1
24188 pts/4    R+     0:00 ./prog1
24189 pts/4    R+     0:00 ./prog1
24190 pts/4    R+     0:00 ./prog1
24191 pts/4    R+     0:00 ./prog1
24192 pts/4    R+     0:00 ./prog1
24193 pts/4    R+     0:00 ./prog1
24194 pts/4    R+     0:00 ./prog1
24195 pts/4    R+     0:00 ./prog1
24196 pts/4    R+     0:00 ./prog1
24197 pts/4    R+     0:00 ./prog1
24198 pts/4    R+     0:00 ./prog1
24199 pts/4    R+     0:00 ./prog1
24200 pts/4    R+     0:00 ./prog1
24201 pts/4    R+     0:00 ./prog1
24202 pts/4    R+     0:00 ./prog1
24203 pts/4    R+     0:00 ./prog1
24204 pts/4    R+     0:00 ./prog1
24205 pts/4    R+     0:00 ./prog1
24206 pts/4    R+     0:00 ./prog1
24207 pts/4    R+     0:00 ./prog1
24208 pts/4    R+     0:00 ./prog1
24209 pts/4    R+     0:00 ./prog1
24210 pts/4    R+     0:00 ./prog1
24211 pts/4    R+     0:00 ./prog1
24212 pts/4    R+     0:00 ./prog1
24213 pts/4    R+     0:00 ./prog1
24214 pts/4    R+     0:00 ./prog1
24215 pts/4    R+     0:00 ./prog1
24216 pts/4    R+     0:00 ./prog1
24217 pts/4    R+     0:00 ./prog1
24218 pts/4    R+     0:00 ./prog1
24219 pts/4    R+     0:00 ./prog1
24220 pts/4    R+     0:00 ./prog1
24221 pts/4    R+     0:00 ./prog1
24222 pts/4    R+     0:00 ./prog1
24223 pts/4    R+     0:00 ./prog1
24224 pts/4    R+     0:00 ./prog1
24225 pts/4    R+     0:00 ./prog1
24226 pts/4    R+     0:00 ./prog1
24227 pts/4    R+     0:00 ./prog1
24228 pts/4    R+     0:00 ./prog1
24229 pts/4    R+     0:00 ./prog1
24230 pts/4    R+     0:00 ./prog1
24231 pts/4    R+     0:00 ./prog1
24232 pts/4    R+     0:00 ./prog1
24233 pts/4    R+     0:00 ./prog1
24234 pts/4    R+     0:00 ./prog1
24235 pts/4    R+     0:00 ./prog1
24236 pts/4    R+     0:00 ./prog1
24237 pts/4    R+     0:00 ./prog1
24238 pts/4    R+     0:00 ./prog1
24239 pts/4    R+     0:00 ./prog1
24240 pts/4    R+     0:00 ./prog1
24241 pts/4    R+     0:00 ./prog1
24242 pts/4    R+     0:00 ./prog1
24243 pts/4    R+     0:00 ./prog1
24244 pts/4    R+     0:00 ./prog1
24245 pts/4    R+     0:00 ./prog1
24246 pts/4    R+     0:00 ./prog1
24247 pts/4    R+     0:00 ./prog1
24248 pts/4    R+     0:00 ./prog1
24249 pts/4    R+     0:00 ./prog1
24250 pts/4    R+     0:00 ./prog1
24251 pts/4    R+     0:00 ./prog1
24252 pts/4    R+     0:00 ./prog1
24253 pts/4    R+     0:00 ./prog1
24254 pts/4    R+     0:00 ./prog1
24255 pts/4    R+     0:00 ./prog1
24256 pts/4    R+     0:00 ./prog1
24257 pts/4    R+     0:00 ./prog1
24258 pts/4    R+     0:00 ./prog1
24259 pts/4    R+     0:00 ./prog1
24260 pts/4    R+     0:00 ./prog1
24261 pts/4    R+     0:00 ./prog1
24262 pts/4    R+     0:00 ./prog1
24263 pts/4    R+     0:00 ./prog1
24264 pts/4    R+     0:00 ./prog1
24265 pts/4    R+     0:00 ./prog1
24266 pts/4    R+     0:00 ./prog1
24267 pts/4    R+     0:00 ./prog1
24268 pts/4    R+     0:00 ./prog1
24269 pts/4    R+     0:00 ./prog1
24270 pts/4    R+     0:00 ./prog1
24271 pts/4    R+     0:00 ./prog1
24272 pts/4    R+     0:00 ./prog1
24273 pts/4    R+     0:00 ./prog1
24274 pts/4    R+     0:00 ./prog1
24275 pts/4    R+     0:00 ./prog1
24276 pts/4    R+     0:00 ./prog1
24277 pts/4    R+     0:00 ./prog1
24278 pts/4    R+     0:00 ./prog1
24279 pts/4    R+     0:00 ./prog1
24280 pts/4    R+     0:00 ./prog1
24281 pts/4    R+     0:00 ./prog1
24282 pts/4    R+     0:00 ./prog1
24283 pts/4    R+     0:00 ./prog1
24284 pts/4    R+     0:00 ./prog1
24285 pts/4    R+     0:00 ./prog1
24286 pts/4    R+     0:00 ./prog1
24287 pts/4    R+     0:00 ./prog1
24288 pts/4    R+     0:00 ./prog1
24289 pts/4    R+     0:00 ./prog1
